Discovery Name/IAU Name	References	Spectral Type	   z	
GALEX-D1-9	1	No spectrum	0.316	
GALEX-D3-13	2	No spectrum	0.3698	
GALEX-D23H-1	2	No spectrum	0.1855	
SDSS-TDE1	3	No spectrum	0.136	
SDSS-TDE2	3	TDE-H	0.256	
PS1-10jh	4	TDE-He	0.1696	
PS1-11af	5	Unknown	0.4046	
PS17dhz/AT2017eqx	6	TDE-H+He	0.1089	
PTF-09ge	7	TDE-He	0.064	
PTF-09axc	7	TDE-H	0.1146	
PTF-09djl	7	TDE-H	0.184	
ASASSN-14ae	8	TDE-H	0.0436	
ASASSN-14li	9	TDE-H+He	0.0205	
ASASSN-15oi	10	TDE-He	0.0484	
ASASSN-15lh	11	Unknown	0.2316	
ASASSN-18pg/AT2018dyb	12	TDE-H+He	0.018	
ASASSN-18ul/AT2018fyk	13	TDE-H+He	0.059	
ASASSN-19bt/AT2019ahk	14	TDE-H	0.0262	
iPTF-15af	15	TDE-H+He	0.0789	
iPTF-16axa	16	TDE-H+He	0.108	
iPTF-16fnl	17	TDE-H+He	0.0163	
OGLE16aaa	18	Unknown	0.1655