IAU Name	Date	Phase	Telescope/Inst.	TDE Class	Redshift	ID	
AT2018zr	2018 Mar 28	25	WHT/ISIS^a	TDE-H	0.071	1	
AT2018bsi	2018 May 13	34	DCT/De Veny	TDE-H+He	0.051	2	
AT2018hco	2018 Nov 10	29	Keck/LRIS	TDE-H	0.088	3	
AT2018iih	2019 Mar 10	102	DCT/De Veny	TDE-He	0.212	4	
AT2018hyz	2018 Nov 12	6	FTN/Floyds-N^b	TDE-H	0.0458	5	
AT2018lni	2019 Mar 1	81	DCT/De Veny	TDE-H+He	0.138	6	
AT2018lna	2019 Jan 26	0	Palomar/DBSP	TDE-H+He	0.091	7	
AT2019cho	2019 May 2	58	DCT/De Veny	TDE-H+He	0.193	8	
AT2019bhf	2019 May 29	90	DCT/De Veny	TDE-H	0.1206	9	
AT2019azh	2019 May 1	46	Keck/LRIS	TDE-H+He	0.0222	10	
AT2019dsg	2019 May 13	13	NTT/EFOSC2^c	TDE-H+He	0.0512	11	
AT2019ehz	2019 Jun 14	35	Lick/Kast	TDE-H	0.074	12	
AT2019eve	2019 Jun 29	50	DCT/De Veny	Unknown	0.0813	13	
AT2019mha	2019 Aug 27	17	Palomar/DBSP	TDE-H	0.148	14	
AT2019meg	2019 Aug 10	8	Palomar/DBSP	TDE-H	0.152	15	
AT2019lwu	2019 Aug 27	31	DCT/De Veny	TDE-H	0.117	16	
AT2019qiz	2019 Nov 5	29	DCT/De Veny	TDE-H+He	0.0151	17